SYMBOL	ENTREZID
EBP	10682
DPYSL5	56896
HRAS	3265
KRAS	3845
NRAS	4893
SLC35A2	7355
ZIC1	7545
WDR73	84942
GLI3	2737
TBC1D24	57465
DYNC2I1	55112
IFT80	57560
WDR35	57539
DYNC2H1	79659
DYNC2I2	89891
CSF1R	1436
BLTP1	84162
CHD7	55636
SEMA3E	9723
FKTN	2218
POMGNT2	84892
B3GALNT2	148789
COL4A1	1282
CRPPA	729920
RXYLT1	10329
POMK	84197
POMGNT1	55624
FTO	79068
ARID1B	57492
AFF3	3899
POLR1A	25885
SMARCA4	6597
SMARCB1	6598
SOX4	6659
ARID1A	8289
DPF2	5977
SMARCC2	6601
SMARCD1	6602
ARID2	196528
SMARCE1	6605
SOX11	6664
PGAP2	27315
ESCO2	157570
PLG	5340
DHCR7	1717
TMEM107	84314
TXNDC15	79770
NPHP3	27031
ASXL1	171023
BUB3	9184
BUB1	699
CEP57	9702
TRIP13	9319
BUB1B	701
FAR1	84188
FGFR1	2260
B4GALT1	2683
PHGDH	26227
KIF21A	55605
NUP88	4927
MYOD1	4654
MAGEL2	54551
MUSK	4593
RAPSN	5913
SLC18A3	6572
DOK7	285489
POGZ	23126
RNF113A	7737
CDC42	998
POLR3A	11128
MTM1	4534
ATP6V1B2	526
BCOR	54880
FLVCR2	55640
CCDC22	28952
DDX3X	1654
PPP1CB	5500
GTPBP2	54676
PIEZO2	63895
WASHC5	9897
EVC2	132884
EVC	2121
ATP6V1A	523
ATP6V1E1	529
KIF5A	3798
CDKN1C	1028
IGF2	3481
KCNQ1	3784
KCNQ1OT1	10984
ALG3	10195
VPS4A	27183
LRPPRC	10128
LAMB1	3912
NCAPG2	54892
ALX4	60529
NEK1	4750
PACS2	23241
RNU4ATAC	100151683
IFT172	26160
ROBO1	6091
FOSL2	2355
TMEM237	65062
COQ4	51117
HHAT	55733
INPP5E	56623
ACBD6	84320
PPFIBP1	8496
DAG1	1605
NPHP1	4867
NSD1	64324
APC2	10297
CSPP1	79848
KIAA0586	9786
PIGU	128869
CDC42BPB	9578
H3-3A	3020
TMEM218	219854
RERE	473
RPGRIP1L	23322
TUBB2A	7280
SRD5A3	79644
AHI1	54806
CEP120	153241
MKS1	54903
CEP41	95681
PSAT1	29968
SEMA6B	10501
KNL1	57082
TUBA1A	7846
COG1	9382
GMPPB	29925
FKRP	79147
POMT2	29954
LARGE1	9215
POMT1	10585
MBD5	55777
TUBB2B	347733
TUBB3	10381
RAB3GAP1	22930
TUBB	203068
ATP6V0A2	23545
DYNC1H1	1778
ZNF423	23090
DPH1	1801
TSEN2	80746
CEP164	22897
THG1L	54974
TBCK	93627
CENPF	1063
TMEM231	79583
TMEM138	51524
TMEM216	51259
CC2D2A	57545
TOGARAM1	23116
PCGF2	7703
LNPK	80856
DENND5A	23258
SACS	26278
ZEB2	9839
TCTN1	79600
TSEN34	79042
SYT2	127833
ATN1	1822
MAPKAPK5	8550
ATR	545
WARS2	10352
C2CD3	26005
EIF4A2	1974
ATP2B3	492
SLC25A19	60386
TAF4	6874
PMM2	5373
RFX7	64864
FOXC1	2296
RBM10	8241
PRDM13	59336
KIAA0753	9851
PDE6D	5147
OFD1	8481
SUFU	51684
CPLANE1	65250
ARL13B	200894
CEP104	9731
HYLS1	219844
KATNIP	23247
TCTN3	26123
TCTN2	79867
B9D2	80776
PIBF1	10464
ARMC9	80210
CBY1	25776
B9D1	27077
ARL3	403
IFT74	80173
GJB6	10804
GJB2	2706
LRRC32	2615
MPL	4352
EXOSC8	11340
EBF3	253738
THOC2	57187
GRIA3	2892
SMG9	56006
SASS6	163786
CWF19L1	55280
SLC25A24	29957
MRE11	4361
USP9X	8239
CPSF3	51692
ADGRG1	9289
PI4KA	5297
SRPX2	27286
PTEN	5728
HNRNPR	10236
DPH5	51611
TAF1	6872
MAST1	22983
FDXR	2232
CCDC32	90416
TSEN54	283989
TSEN15	116461
SEPSECS	51091
LAMA1	284217
PRKDC	5591
RARS2	57038
TMCO1	54499
WLS	79971
FAT4	79633
DCHS1	8642
FRMD4A	55691
HNRNPH1	3187
EPG5	57724
VPS35L	57020
MAB21L1	4081
MAN2C1	4123
RAC1	5879
ASNS	440
CNTNAP2	26047
VPS51	738
MACF1	23499
GOT2	2806
CLXN	79645
LETM1	3954
NSRP1	84081
PAFAH1B1	5048
RBM8A	9939
RAB18	22931
TBC1D20	128637
ATP9A	10079
CPT2	1376
TOPORS	10210
FAM149B1	317662
KIF7	374654
FIG4	9896
BICD2	23299
PPP1R21	129285
NUP37	79023
TRRAP	8295
ARHGEF2	9181
NSUN6	221078
GPC3	2719
GPC4	2239
RAP1B	5908
EXOC2	55770
RAB11B	9230
AP1S2	8905
DPH2	1802
ASXL3	80816
MEF2C	4208
KPNA3	3839
PTF1A	256297
TFAP2A	7020
B4GAT1	11041
COG8	84342
KIF14	9928
MVK	4598
HMBS	3145
PACS1	55690
PIGN	23556
PLCH1	23007
RAB3GAP2	25782
TMEM67	91147
KCNJ13	3769
RD3	343035
RDH12	145226
CRX	1406
NMNAT1	64802
RPGRIP1	57096
CEP290	80184
TUBB4B	10383
IFT140	9742
USP45	85015
RPE65	6121
CRB1	23418
PCYT1A	5130
IQCB1	9657
GDF6	392255
AIPL1	23746
GUCY2D	3000
LRAT	9227
SPATA7	55812
TULP1	7287
LCA5	167691
IMPDH1	3614
PGAP1	80055
MID1	4281
OPHN1	4983
ACY1	95
ITPR1	3708
WDR81	124997
L1CAM	3897
BRF1	2972
BMP4	652
TRAPPC9	83696
INTS1	26173
MDH1	4190
VLDLR	7436
GEMIN4	50628
MED11	400569
GRM1	2911
